base_lr,lr,data_time,loss,loss_kpt,acc_pose,time,epoch,iter,memory,step
0.0002000002906207827,0.0002000002906207827,0.8175423431396485,0.07670086324214935,0.07670086324214935,0.9993812132278352,1.287001895904541,51.0,28450.0,3139.0,28450.0
0.0002000002906207827,0.0002000002906207827,0.011671457290649414,0.07662849366664887,0.07662849366664887,0.9994103773584906,0.3164665222167969,51.0,28500.0,3139.0,28500.0
0.0002000002906207827,0.0002000002906207827,0.012207903861999513,0.07564609885215759,0.07564609885215759,0.9990537960467206,0.32142206192016604,51.0,28550.0,3139.0,28550.0
0.0002000002906207827,0.0002000002906207827,0.01304715633392334,0.07620390281081199,0.07620390281081199,1.0,0.3094822883605957,51.0,28600.0,3139.0,28600.0
0.0002000002906207827,0.0002000002906207827,0.010733461380004883,0.07458351887762546,0.07458351887762546,0.9990959119496855,0.276569766998291,51.0,28650.0,3139.0,28650.0
0.0002000002906207827,0.0002000002906207827,0.013322625160217285,0.07580504074692726,0.07580504074692726,0.9982121119902617,0.27871782302856446,51.0,28700.0,3139.0,28700.0
0.0002000002906207827,0.0002000002906207827,0.012879042625427247,0.07697136893868446,0.07697136893868446,1.0,0.27826537132263185,51.0,28750.0,3139.0,28750.0
0.0002000002906207827,0.0002000002906207827,0.01564075469970703,0.0763103286921978,0.0763103286921978,1.0,0.2832146120071411,51.0,28800.0,3139.0,28800.0
0.0002000002906207827,0.0002000002906207827,0.01275130271911621,0.0759266459941864,0.0759266459941864,0.9967475654290932,0.2740809440612793,51.0,28850.0,3139.0,28850.0
0.0002000002906207827,0.0002000002906207827,0.012674694061279296,0.07600969523191452,0.07600969523191452,0.999685534591195,0.271133279800415,51.0,28900.0,3139.0,28900.0
0.0002000002906207827,0.0002000002906207827,0.01250760555267334,0.07798547998070716,0.07798547998070716,0.9994103773584906,0.2736403703689575,51.0,28950.0,3139.0,28950.0
0.0002000002906207827,0.0002000002906207827,0.015785174369812013,0.07542451158165932,0.07542451158165932,1.0,0.27103242397308347,52.0,29018.0,3139.0,29018.0
0.0002000002906207827,0.0002000002906207827,0.008630552291870118,0.07520846456289292,0.07520846456289292,0.9973371880706026,0.2579994297027588,52.0,29068.0,3139.0,29068.0
0.0002000002906207827,0.0002000002906207827,0.008905072212219239,0.07678008869290352,0.07678008869290352,0.9990667478190303,0.26582183837890627,52.0,29118.0,3139.0,29118.0
0.0002000002906207827,0.0002000002906207827,0.01201714038848877,0.07542069643735885,0.07542069643735885,1.0,0.2752603578567505,52.0,29168.0,3139.0,29168.0
0.0002000002906207827,0.0002000002906207827,0.012288508415222167,0.07564421996474266,0.07564421996474266,0.9994103773584906,0.27531747341156004,52.0,29218.0,3139.0,29218.0
0.0002000002906207827,0.0002000002906207827,0.014584264755249023,0.07595523744821549,0.07595523744821549,0.9997051886792453,0.27676446437835694,52.0,29268.0,3139.0,29268.0
0.0002000002906207827,0.0002000002906207827,0.008959121704101562,0.07659398049116134,0.07659398049116134,0.998116875532951,0.26192786693573,52.0,29318.0,3139.0,29318.0
0.0002000002906207827,0.0002000002906207827,0.013529605865478515,0.07609323248267173,0.07609323248267173,0.9994103773584906,0.26975862503051756,52.0,29368.0,3139.0,29368.0
0.0002000002906207827,0.0002000002906207827,0.011768736839294434,0.07597941651940346,0.07597941651940346,1.0,0.2701102352142334,52.0,29418.0,3139.0,29418.0
0.0002000002906207827,0.0002000002906207827,0.014238624572753907,0.0752098560333252,0.0752098560333252,0.9988207547169812,0.2754617977142334,52.0,29468.0,3139.0,29468.0
0.0002000002906207827,0.0002000002906207827,0.011312632560729981,0.0769703996181488,0.0769703996181488,0.9988207547169812,0.2726582956314087,52.0,29518.0,3139.0,29518.0
0.0002000002906207827,0.0002000002906207827,0.014836468696594239,0.07601559862494468,0.07601559862494468,0.9979363207547169,0.26940826416015623,53.0,29586.0,3139.0,29586.0
0.0002000002906207827,0.0002000002906207827,0.008366408348083497,0.07566450521349907,0.07566450521349907,0.9993907232704403,0.2590655326843262,53.0,29636.0,3139.0,29636.0
0.0002000002906207827,0.0002000002906207827,0.008441691398620605,0.07568688422441483,0.07568688422441483,0.9997051886792453,0.2587148284912109,53.0,29686.0,3139.0,29686.0
0.0002000002906207827,0.0002000002906207827,0.008440284729003907,0.07650222674012185,0.07650222674012185,1.0,0.25942379474639893,53.0,29736.0,3139.0,29736.0
0.0002000002906207827,0.0002000002906207827,0.011266536712646484,0.07562559053301811,0.07562559053301811,1.0,0.2722389793395996,53.0,29786.0,3139.0,29786.0
0.0002000002906207827,0.0002000002906207827,0.012236752510070802,0.07587547272443772,0.07587547272443772,0.9984757915853394,0.27192906379699705,53.0,29836.0,3139.0,29836.0
0.0002000002906207827,0.0002000002906207827,0.012165560722351074,0.07660236954689026,0.07660236954689026,0.997926810712112,0.2718869686126709,53.0,29886.0,3139.0,29886.0
0.0002000002906207827,0.0002000002906207827,0.008408594131469726,0.07526063323020935,0.07526063323020935,0.9986935464021508,0.2629593896865845,53.0,29936.0,3139.0,29936.0
0.0002000002906207827,0.0002000002906207827,0.010984025001525878,0.0760650384426117,0.0760650384426117,1.0,0.2647934675216675,53.0,29986.0,3139.0,29986.0
0.0002000002906207827,0.0002000002906207827,0.008451943397521972,0.07622282579541206,0.07622282579541206,0.9967570754716981,0.2606124448776245,53.0,30036.0,3139.0,30036.0
0.0002000002906207827,0.0002000002906207827,0.009466743469238282,0.07585839152336121,0.07585839152336121,1.0,0.2705922269821167,53.0,30086.0,3139.0,30086.0
